Event;GameTimeSpent;MoleActivatedDuration
Mole Hit;19.24217;2.0960
Mole Hit;19.26744;2.1213
Mole Hit;22.06148;1.8732
Mole Hit;22.28781;2.0996
Mole Hit;25.11166;1.8825
Mole Hit;25.1342;1.9050
Mole Hit;28.23697;1.9651
Mole Hit;28.26868;1.9968
Mole Hit;31.29817;1.9988
Mole Hit;31.35126;2.0519
Mole Hit;34.82825;2.4879
Mole Hit;34.82825;2.4879
Mole Hit;37.50909;2.1341
Mole Hit;37.50909;2.1341
Mole Hit;40.37665;1.9632
Mole Hit;40.37665;1.9632
Mole Hit;43.20299;1.7623
Mole Hit;43.22755;1.7869
Mole Hit;45.8723;1.4069
Mole Hit;45.90781;1.4424
Mole Hit;48.61197;1.1242
Mole Hit;51.82622;1.2900
Mole Hit;51.84999;1.3137
Mole Hit;55.15283;1.5706
Mole Hit;55.17531;1.5930
Mole Hit;58.73015;2.1098
Mole Hit;59.57872;2.9584
Mole Hit;61.48956;1.8433
Mole Hit;61.48956;1.8433
Mole Hit;64.34886;1.6691
Mole Hit;64.41818;1.7384
Mole Hit;70.47894;1.7254
Mole Hit;70.47894;1.7254
Mole Hit;73.82495;2.0374
Mole Hit;73.82495;2.0374
Mole Hit;77.59506;2.7664
Mole Hit;77.59506;2.7664
Mole Hit;80.47;2.6153
Mole Hit;80.47;2.6153
Mole Hit;82.74457;1.8413
Mole Hit;82.74457;1.8413
Mole Hit;85.19348;1.2534
Mole Hit;85.19348;1.2534
Mole Hit;88.70288;1.7129
Mole Hit;88.70288;1.7129
Mole Hit;91.78059;1.7542
Mole Hit;94.16135;1.0929
Mole Hit;94.16135;1.0929
Mole Hit;98.62767;2.5337
Mole Hit;98.62767;2.5337
Mole Hit;101.2075;2.0560
Mole Hit;101.2075;2.0560
Mole Hit;106.6255;1.4122
Mole Hit;106.6255;1.4122
Mole Hit;110.3719;2.1385
Mole Hit;110.3719;2.1385
Mole Hit;112.8697;1.5870
Mole Hit;116.0815;1.7614
Mole Hit;116.0815;1.7614
Mole Hit;119.6493;2.3002
Mole Hit;119.6493;2.3002
Mole Hit;122.2288;1.8541
Mole Hit;122.2288;1.8541
Mole Hit;124.6792;1.2752
Mole Hit;124.6792;1.2752
Mole Hit;128.0554;1.6266
Mole Hit;128.0554;1.6266
Mole Hit;131.2701;1.7813
Mole Hit;131.2701;1.7813
Mole Hit;133.9458;1.4292
Mole Hit;139.7103;1.1398
Mole Hit;139.7103;1.1398
Mole Hit;143.5886;1.9805
Mole Hit;143.5886;1.9805
Mole Hit;146.7262;2.0775
Mole Hit;146.7262;2.0775
Mole Hit;150.4598;2.7747
Mole Hit;150.4598;2.7747
Mole Hit;152.0007;1.2853
Mole Hit;152.0007;1.2853
Mole Hit;155.2894;1.5391
Mole Hit;155.2894;1.5391
Mole Hit;158.1303;1.3373
Mole Hit;158.1303;1.3373
Mole Hit;161.9124;2.0850
Mole Hit;161.9124;2.0850
Mole Hit;164.4946;1.6318
Mole Hit;164.4946;1.6318
Mole Hit;167.6458;1.7419
Mole Hit;167.6458;1.7419
Mole Hit;173.2601;1.2870
Mole Hit;176.9521;1.9569
Mole Hit;176.9521;1.9569
Mole Hit;179.7232;1.7029
Mole Hit;179.7232;1.7029
Mole Hit;182.7401;1.6669
Mole Hit;182.7401;1.6669
Mole Hit;185.9538;1.8549
Mole Hit;185.9538;1.8549
Mole Hit;189.5133;2.3879
Mole Hit;189.5133;2.3879
Mole Hit;194.7393;1.5492
Mole Hit;197.5016;1.2729
Mole Hit;198.6502;2.4216
Mole Hit;201.1692;1.9138
Mole Hit;201.8685;2.6131
Mole Hit;206.8737;1.5640
Mole Hit;210.0478;1.6960
Mole Hit;210.0686;1.7169
Mole Hit;215.8034;1.3798
Mole Hit;215.8034;1.3798
Mole Hit;219.6272;2.1619
Mole Hit;219.6272;2.1619
Mole Hit;222.3774;1.8792
Mole Hit;222.9831;2.4850
Mole Hit;224.6981;1.1616
Mole Hit;225.8266;2.2900
Mole Hit;227.9026;1.3180
Mole Hit;230.9802;1.3584
Mole Hit;231.0042;1.3825
Mole Hit;234.1642;1.5114
Mole Hit;234.1642;1.5114
Mole Hit;237.7454;2.0543
Mole Hit;237.7454;2.0543
Mole Hit;240.6379;1.9202
Mole Hit;240.6595;1.9418
Mole Hit;243.0401;1.2812
Mole Hit;243.0401;1.2812
Mole Hit;245.9215;1.1242
Mole Hit;249.7511;1.9312
Mole Hit;249.7725;1.9526
